DY,MO,YEAR,pm25
4,2,2018,123
5,2,2018,140
6,2,2018,147
7,2,2018,142
8,2,2018,135
9,2,2018,126
10,2,2018,126
11,2,2018,137
12,2,2018,124
13,2,2018,134
14,2,2018,142
15,2,2018,133
16,2,2018,123
17,2,2018,92
18,2,2018,71
19,2,2018,72
20,2,2018,73
21,2,2018,69
22,2,2018,79
23,2,2018,90
24,2,2018,85
25,2,2018,98
26,2,2018,110
27,2,2018,114
28,2,2018,86
1,3,2018,53
2,3,2018,69
3,3,2018,68
4,3,2018,73
5,3,2018,73
6,3,2018,74
7,3,2018,81
8,3,2018,89
9,3,2018,108
10,3,2018,117
11,3,2018,104
12,3,2018,123
13,3,2018,85
14,3,2018,52
15,3,2018,54
16,3,2018,50
17,3,2018,61
18,3,2018,68
19,3,2018,65
20,3,2018,66
21,3,2018,79
22,3,2018,106
23,3,2018,107
24,3,2018,105
25,3,2018,85
26,3,2018,95
27,3,2018,107
28,3,2018,105
29,3,2018,81
30,3,2018,93
31,3,2018,92
1,10,2017,65
2,10,2017,51
3,10,2017,51
4,10,2017,58
5,10,2017,89
6,10,2017,65
7,10,2017,86
8,10,2017,76
9,10,2017,106
10,10,2017,75
11,10,2017,67
12,10,2017,95
13,10,2017,82
14,10,2017,71
15,10,2017,43
16,10,2017,57
17,10,2017,70
18,10,2017,69
19,10,2017,69
20,10,2017,72
21,10,2017,84
22,10,2017,58
23,10,2017,69
24,10,2017,106
25,10,2017,107
26,10,2017,134
27,10,2017,109
28,10,2017,117
29,10,2017,119
30,10,2017,135
13,11,2017,114
14,11,2017,126
15,11,2017,137
16,11,2017,48
17,11,2017,89
18,11,2017,75
19,11,2017,68
20,11,2017,70
21,11,2017,82
22,11,2017,112
23,11,2017,126
24,11,2017,108
25,11,2017,96
26,11,2017,79
27,11,2017,87
28,11,2017,97
29,11,2017,128
30,11,2017,115
1,12,2017,116
2,12,2017,106
3,12,2017,105
4,12,2017,90
5,12,2017,119
6,12,2017,149
7,12,2017,106
8,12,2017,126
19,12,2017,121
20,12,2017,98
21,12,2017,74
22,12,2017,87
23,12,2017,86
24,12,2017,78
26,12,2017,60
27,12,2017,86
28,12,2017,111
29,12,2017,109
30,12,2017,100
31,12,2017,89
1,7,2017,78
2,7,2017,73
3,7,2017,79
4,7,2017,77
5,7,2017,100
6,7,2017,94
7,7,2017,104
8,7,2017,85
9,7,2017,75
10,7,2017,87
18,7,2017,94
19,7,2017,103
20,7,2017,100
21,7,2017,83
22,7,2017,80
23,7,2017,83
24,7,2017,89
25,7,2017,66
26,7,2017,67
27,7,2017,51
28,7,2017,56
29,7,2017,63
30,7,2017,71
31,7,2017,68
1,8,2017,70
2,8,2017,76
3,8,2017,72
4,8,2017,72
5,8,2017,85
6,8,2017,94
7,8,2017,93
8,8,2017,76
9,8,2017,60
10,8,2017,81
11,8,2017,71
12,8,2017,88
13,8,2017,57
14,8,2017,54
15,8,2017,44
16,8,2017,60
17,8,2017,72
18,8,2017,62
19,8,2017,89
20,8,2017,65
21,8,2017,74
22,8,2017,54
23,8,2017,49
24,8,2017,51
25,8,2017,58
26,8,2017,58
27,8,2017,31
28,8,2017,49
29,8,2017,75
30,8,2017,103
31,8,2017,112
1,9,2017,80
2,9,2017,59
3,9,2017,53
4,9,2017,52
5,9,2017,63
6,9,2017,58
11,9,2017,96
12,9,2017,104
13,9,2017,103
14,9,2017,60
